,text,text_final
63,"['third', ':', 'welcoming', 'the', '@', 'airbus', 'a321neo', 'on', 'its', 'first', 'ever', 'revenue', 'flight', 'from', '@', 'flysfo', 'to', '@', 'reagan_airportpic.twitter.com/bzyi2fg3kl']","['third', 'first', 'ever']"
64,"['got', 'ta', 'get', '@', 'clear', '#', 'lifesaver']",['lifesaver']
65,"['serenaded', 'upon', 'landing', '.', '@', 'southwest', 'knows', 'how', 'to', 'keep', 'it', 'interesting', 'even', 'in', 'the', 'am', '.', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']","['serenade', 'upon', 'keep', 'interest', 'even']"
66,['damn'],[]
67,"['they', 'opened', 'another', 'pre', 'line', 'though']","['open', 'another', 'line', 'though']"
68,"['uh', 'wut']","['uh', 'wut']"
69,"['classic', '@', 'united', '@', 'flysfo', 'stuck', 'on', 'the', 'ground', 'with', 'no', 'gate', '.', 'it', 'would', 'be', 'funny', 'if', 'it', 'happens', 'once', '.', '#', 'ridiculous', '#', 'poorlymanaged', '#', 'noclue']","['gate', 'would', 'poorlymanaged', 'noclue']"
70,"['.', '@', 'flysfo', 'the', 'customs', 'and', 'security', 'process', 'this', 'morning', 'took', '2', 'hours', '.', 'y', '’', 'all', 'need', 'to', 'apologize', 'to', 'me', 'and']","['custom', 'security', 'process', 'take', 'hour', 'apologize']"
71,"['warning', ':', 'tsa', 'pre', 'line', '@', 'flysfo', 'pic.twitter.com/9x0lltmie4']","['tsa', 'line']"
72,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
73,"['the', 'party', 'started', '?', '#', 'airporttwitterpic.twitter.com/nf2xwvhwpf']",[]
74,"['even', 'this', 'cutie', 'at', '@', 'flysfo', 'enjoys', 'at', 'airplane', 'view', '!', 'photo', ':', '@', 'juniperthesfpup', '#', 'airporttherapydogspic.twitter.com/c1ppfvyxw8']","['even', 'cutie', 'enjoy', 'juniperthesfpup']"
75,"['even', 'with', '@', 'tsa', '#', 'precheck', 'and', '@', 'clear', '@', 'flysfo', 'is', 'a', 'mess', 'today', '.', 'over', '15', 'min', 'through', 'security', '.', '#', 'firstworldproblemspic.twitter.com/kebvigzxbl']","['even', 'tsa', 'min', 'security']"
76,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
77,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
78,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
79,"['honestly', 'at', 'this', 'point', 'i', '’', 'm', 'tempted', 'to', 'just', 'sleep', 'until', '2018', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']","['honestly', 'tempt']"
80,"[""y'all"", 'should', 'come', 'to', '@', 'cardiff_airport', '-', 'rest', 'of', 'the', 'uk', 'might', 'have', 'snow', 'and', 'cold', 'weather', 'but', 'nothing', 'in', 'sunny', 'south', 'wales']","['rest', 'might', 'nothing']"
81,"['the', 'view', 'as', 'we', 'departed', '@', 'flysfo', 'a', 'few', 'hours', 'ago', 'on', '#', 'lh455', '!', 'tweeting', 'this', 'from', '39', '‘', '000ft', 'thanks', 'to', '@', 'lufthansa', '‘', 's', 'flynet', '!', 'pic.twitter.com/sbyqgfjbk2']","['hour', 'thanks', 'flynet']"
82,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
83,"['curious', '@', 'flysfo', 'any', 'plans', 'to', 'make', 'app-ride', 'customers', 'go', 'to', 'a', 'special', 'lot', 'for', 'pick', 'ups', '?', 'like', '#', 'logan', 'and', 'surely', 'others', '?', 'this', 'can', '’', 't', 'go', 'on', '.', 'everyone', 'is', 'a', 'something-driver']","['special', 'logan', 'surely', 'others', 'everyone']"
84,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
85,"['i', 'was', 'there', '.', 'was', 'during', 'ces']",[]
86,"['if', '@', 'flysfo', 'doesn', '’', 't', 'do', 'something']",['something']
87,"['@', 'virginamerica', 'if', 'we', 'prepay', 'for', 'our', 'bags']","['prepay', 'bag']"
88,"['annoying', 'that', 'for', 'most', 'international', 'travel', 'from', '@', 'flysfo', 'you', 'have', 'to', 'go', 'through', 'security', 'again', 'to', 'access', '@', 'americanexpress', '#', 'centurionlounge', '.', '#', 'champagneproblemspic.twitter.com/wijs1eiow3']","['annoy', 'security', 'access']"
89,"['wheels', 'up', '@', 'united', '@', 'torontopearson', '-', '@', 'flysfo', '#', 'unitedpic.twitter.com/kpctavgl0z']",['torontopearson']
90,"['back', 'to', 'the', 'de-icing', 'discussion', 'that', 'started', 'it', 'all', '...', 'we', 'remember', 'a', '#', 'vegas', 'snow', 'day', '.', 'once', '.', 'ten-plus', 'years', 'ago', '.', 'currently', '60', 'degrees', '.', '#', 'vegaswinterpic.twitter.com/crh6o8aprm']","['back', 'discussion']"
91,"['i', 'dig', 'the', 'city', 'of', '@', 'oakland', '.', 'however']","['dig', 'however']"
92,"['these', 'airport', 'tweets', 'are', 'glorious', '....']",['glorious']
93,"['boarding', 'a', 'plane', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
94,"['yay', '!', 'now', 'to', 'go', 'ultra', 'long', 'haul', '...', '@', 'ntlairport', '@', 'adelaideairport', '@', 'melair', '@', 'akl_airport', '@', 'sydneyairport', '#', 'airporttwitter', 'pic.twitter.com/pleweg3ebb']","['ultra', 'haul', 'ntlairport', 'adelaideairport', 'sydneyairport']"
95,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
96,"['#', 'airporttwitter', 'is', 'everywhere', '!', 'pic.twitter.com/ax0l4z0qsl']",['everywhere']
97,"['awwww', 'yesss', '-kpic.twitter.com/igliv03vp4']",['awwww']
98,['welcome'],[]
99,['welcome'],[]
100,"['oh', 'hello', '!', '-kpic.twitter.com/080exleeha']",[]
101,"['avoid', 'roadway', 'congestion', 'and', 'conveniently', 'pick', 'up', 'your', 'family', 'or', 'friend', 'in', 'the', 'short-term', 'parking', 'garage', 'for', 'free', 'for', 'stays', 'of', '30', 'minutes', 'or', 'less', '.', 'to', 'learn', 'more', 'visit', 'http', ':', '//flysfo.com/express', '.', '#', 'sfopic.twitter.com/jg41mdssmn']","['parking', 'free', 'stay', 'minute', 'less']"
