,words,counts
858,snap,6.0
859,snoballs,6.0
860,solve,6.0
861,source,6.0
862,southbound,6.0
863,speech,6.0
864,spent,6.0
865,spy,6.0
866,stall,6.0
867,stock,6.0
868,study,6.0
869,suggest,6.0
870,summit,6.0
871,surely,6.0
872,surge,6.0
873,sushi,6.0
874,tang,6.0
875,teach,6.0
876,tear,6.0
877,terrific,6.0
878,theme,6.0
879,theresistance,6.0
880,tick,6.0
881,timelapse,6.0
882,tiny,6.0
883,toddler,6.0
884,toilet,6.0
885,tomhanks,6.0
886,tram,6.0
887,turkey,6.0
888,turkishairlines,6.0
889,typical,6.0
890,uh,6.0
891,unprofessional,6.0
892,utahjazz,6.0
893,va,6.0
894,vegan,6.0
895,war,6.0
896,xmas,6.0
897,yyz,6.0
898,abuse,5.0
899,accurate,5.0
900,achievement,5.0
901,admit,5.0
902,adorable,5.0
903,af,5.0
904,afraid,5.0
905,airports,5.0
906,alex,5.0
907,analysis,5.0
908,animation,5.0
909,annaaero,5.0
910,annoy,5.0
911,appal,5.0
912,asap,5.0
913,aside,5.0
914,asklyft,5.0
915,asphalt,5.0
916,attitude,5.0
917,august,5.0
918,backpack,5.0
919,behavior,5.0
920,bite,5.0
921,blow,5.0
922,bob,5.0
923,bomb,5.0
924,bouncy,5.0
925,bravo,5.0
926,britishairways,5.0
927,bug,5.0
928,bumpy,5.0
929,campaign,5.0
930,careful,5.0
931,cart,5.0
932,champagne,5.0
933,cheat,5.0
934,checking,5.0
935,cheese,5.0
936,chicken,5.0
937,classy,5.0
938,cleveland,5.0
939,client,5.0
940,closing,5.0
941,clubhouse,5.0
942,colleague,5.0
943,communicate,5.0
944,compensate,5.0
945,complimentary,5.0
946,concierge,5.0
947,confrontation,5.0
948,consistent,5.0
949,constitutional,5.0
950,cooperate,5.0
951,couragecampaign,5.0
952,crappy,5.0
953,cream,5.0
954,creek,5.0
955,dead,5.0
956,death,5.0
957,decision,5.0
958,dedicate,5.0
959,del,5.0
960,deltaassist,5.0
961,dep,5.0
962,department,5.0
963,desert,5.0
964,destroy,5.0
965,dislike,5.0
966,distance,5.0
967,downstairs,5.0
968,dress,5.0
969,drill,5.0
970,driving,5.0
971,dtw,5.0
972,dubai,5.0
973,dulles,5.0
974,dutyfree,5.0
975,earth,5.0
976,eats,5.0
977,eclipse,5.0
978,effort,5.0
979,electronics,5.0
980,eliminate,5.0
981,embarrassment,5.0
982,emoji,5.0
983,english,5.0
984,erin,5.0
985,esp,5.0
986,eva,5.0
987,everyday,5.0
988,everytime,5.0
989,excitement,5.0
990,extend,5.0
991,fascinate,5.0
992,fave,5.0
993,feeling,5.0
994,female,5.0
995,fitting,5.0
996,flightdeal,5.0
997,french,5.0
998,friendship,5.0
999,frm,5.0
1000,fund,5.0
1001,furry,5.0
1002,gamble,5.0
1003,gang,5.0
1004,germany,5.0
1005,ghost,5.0
1006,grade,5.0
1007,greenland,5.0
1008,grill,5.0
1009,guide,5.0
1010,hair,5.0
1011,hangar,5.0
1012,hartford,5.0
1013,headache,5.0
1014,helicopter,5.0
1015,hella,5.0
1016,hmshost,5.0
1017,hobby,5.0
1018,iconic,5.0
1019,ill,5.0
1020,immediate,5.0
1021,inadequacy,5.0
1022,incl,5.0
1023,inefficient,5.0
1024,influence,5.0
1025,inform,5.0
1026,instruction,5.0
1027,internal,5.0
1028,internship,5.0
1029,iphone,5.0
1030,iraq,5.0
1031,jay,5.0
1032,joe,5.0
1033,kamvtv,5.0
1034,kiehls,5.0
1035,kitchen,5.0
1036,layout,5.0
1037,leadership,5.0
1038,legit,5.0
1039,liberty,5.0
1040,limited,5.0
1041,log,5.0
1042,logan,5.0
1043,mainland,5.0
1044,mainline,5.0
1045,maintain,5.0
1046,marathon,5.0
1047,maria,5.0
1048,mary,5.0
1049,mass,5.0
1050,mayor,5.0
1051,med,5.0
1052,memo,5.0
1053,military,5.0
1054,mini,5.0
1055,mobilepassport,5.0
1056,mon,5.0
1057,monterey,5.0
1058,monthly,5.0
1059,nbc,5.0
1060,nc,5.0
1061,oil,5.0
1062,ol,5.0
1063,omaairport,5.0
1064,ongoing,5.0
1065,ontime,5.0
1066,outbound,5.0
1067,outrageous,5.0
1068,paid,5.0
1069,paint,5.0
1070,palm,5.0
1071,pan,5.0
1072,panic,5.0
1073,passing,5.0
1074,pave,5.0
1075,peak,5.0
1076,penny,5.0
1077,phase,5.0
1078,photograph,5.0
1079,piggy,5.0
1080,pillow,5.0
1081,pink,5.0
1082,planespotter,5.0
1083,planet,5.0
1084,player,5.0
1085,plug,5.0
1086,powerful,5.0
1087,presence,5.0
1088,pretend,5.0
1089,prize,5.0
1090,prob,5.0
1091,probe,5.0
1092,profile,5.0
1093,progress,5.0
1094,prologis,5.0
1095,prop,5.0
1096,property,5.0
1097,protection,5.0
1098,puppy,5.0
1099,quality,5.0
1100,quit,5.0
1101,raleigh,5.0
1102,reading,5.0
1103,reasonable,5.0
1104,refund,5.0
1105,relative,5.0
1106,reliable,5.0
1107,replace,5.0
1108,reservation,5.0
1109,resolution,5.0
1110,responsibility,5.0
1111,retrieve,5.0
1112,reveal,5.0
1113,rider,5.0
1114,rout,5.0
1115,russian,5.0
1116,salesforce,5.0
1117,salt,5.0
1118,sam,5.0
1119,sandraleefewer,5.0
1120,sane,5.0
1121,sat,5.0
1122,saudi,5.0
1123,scanner,5.0
1124,secure,5.0
1125,senior,5.0
1126,setting,5.0
1127,sfowagbrigade,5.0
1128,sftravelassn,5.0
1129,shaunking,5.0
1130,showcase,5.0
1131,sigh,5.0
1132,silly,5.0
1133,skywestairlines,5.0
1134,soft,5.0
1135,somebody,5.0
1136,sonoma,5.0
1137,spa,5.0
1138,sponsor,5.0
1139,sprint,5.0
1140,squad,5.0
1141,standby,5.0
1142,stl,5.0
1143,stream,5.0
1144,stress,5.0
1145,suffer,5.0
1146,summeroflove,5.0
1147,supply,5.0
1148,supporter,5.0
1149,supportive,5.0
1150,sustainable,5.0
1151,sw,5.0
1152,swa,5.0
1153,swear,5.0
1154,sweep,5.0
1155,swiss,5.0
1156,talented,5.0
1157,technical,5.0
1158,tfw,5.0
1159,thailand,5.0
1160,throwback,5.0
1161,tmrw,5.0
1162,tough,5.0
1163,tourist,5.0
1164,tray,5.0
1165,trouble,5.0
1166,trust,5.0
1167,um,5.0
1168,ummm,5.0
1169,unconstitutionalban,5.0
1170,union,5.0
1171,unit,5.0
